program,income,sibs,e,walk
Regular,-0.1524106330647638,2.011305586134103,-0.599123209933587,-0.22208636646368118
Single report,-0.22889581513081952,-1.1779674987171151,-1.3306949928117564,-2.1630224648665433
Weekly    report,-0.9007917505804772,-0.7551704821952414,-0.5922097458709902,-2.620982612839327
Special,-0.7350261557842767,-0.3312844845853223,1.8010508559089398,1.1328693799398635
Weekly    report,-1.427685783593444,-0.2837026964500665,1.0553385910436344,-1.5280414325715648
Regular,0.6192835348493725,0.3141529000716705,-0.2919207569173455,0.39408099539254843
Regular,-0.006198262269624111,1.8448386710393045,-0.824109376195114,-0.31098743407989793
Regular,-0.6857068456929861,-0.9819171494121648,1.2162502385209386,-0.7032686047246228
Single report,-0.2793335276372195,2.196003763390071,0.21972840450965236,0.9987299947488585
Special,-0.78273027528325545,-0.20466766506402131,0.07499952694127236,-0.6014297185156214
Single report,-0.7789972397321926,0.9751429364340559,-2.1404184838499143,-2.721342875231175
Weekly    report,-0.37480009312840856,-0.8675661162473909,1.4709722365164537,0.17498903870014537
Weekly    report,-0.319393808829427,-0.5011875917612657,-0.8377676061922844,-1.8674521153170578
Special,0.08454376805080788,0.7855911628703068,0.39550986785137193,1.5151211013627373
Weekly    report,-0.7684736029397172,-2.1022473235015626,0.8864216766580727,-1.6174123895022845
Regular,-0.6259109130716498,-0.04220492971539837,1.2010425517785839,-0.15892628268659004
Special,-0.9008708552379426,-0.4048094134224834,1.3168056812934466,0.36309469172529085
Single report,0.6637286696752447,-0.11276596646787061,-0.19304041816579548,0.8461696031131363
Single report,0.30027911812024244,1.7971404406654115,0.5505762493195184,1.999565146832588
Regular,0.07485682386227409,-0.8103262579201039,-2.0887729437758784,-2.7816508369425192
Single report,0.20637269535074765,1.9009000737511965,-0.024909793526828136,1.3350992863748916
Single report,-0.488922835294287,0.7089544404656554,0.8884576514004443,0.6095506186918415
Single report,-0.6279516578233464,0.736194774553343,-0.3374311513336793,-0.8112612507920274
Special,-0.04691672642829948,1.3657765536621354,-1.0307110546566607,0.18180213253195765
Regular,0.16261811532189557,-0.5762638927565428,0.43083317223155865,-0.013371601163869429
Single report,1.2923059149731964,-0.8047323196360593,0.2089074018195396,1.8450001144613044
Single report,-0.4635565015199729,-0.5350658115382178,-1.5482402570687468,-2.4111079151178147
Regular,0.30546322748172333,0.7915479094238929,-1.173802218473676,-0.7198334225391446
Special,-0.08398871324032925,-0.707607150862118,1.1788152043478577,1.2990285590563047
Regular,0.41036344916199535,-1.2755433719884615,-0.4193094422402978,-0.8415359544915355
Weekly    report,0.18367824052907913,2.3754644612331477,-1.8525752996818772,-0.6893257082716846
Weekly    report,1.7787416183437779,-1.0935897483121282,0.48592647351685714,2.30724402687646
Weekly    report,0.03768284739738039,0.19244158222404886,-0.47191259328027896,-0.6191675310721838
Single report,1.1762201244006039,-0.1261603813796899,0.8467385910487075,2.6479885869597686
Weekly    report,-0.5585358103268164,-1.3884321398743908,0.9257705920311124,-0.9062491933963078
Regular,-0.9456179399256067,0.4699021916206253,-0.32083058093985506,-1.9043063950179524
Single report,-0.6651886394786714,0.9603823572009029,-1.3009736336468574,-1.718565414264413
Regular,0.4520301916037567,-0.0051412883830353725,2.459568010321518,2.7350426535356354
Regular,0.5268556691889544,-0.8704644417645429,0.778365003756837,0.7334162866579973
Special,-0.23026223548426958,-0.4628790402694057,0.6898809126128761,0.7130480392517689
Special,1.397426653164646,-1.9111512550810923,-1.7044655488057525,0.036098803400670176
Special,1.7636530313853604,0.3698160437135454,1.1053721346835388,4.535759703618353
Special,0.48560135419060707,-0.46228805728137107,-0.3138528146859152,0.7834051879593098
Special,-0.2657389438971887,0.3219558918166299,-0.346692745478719,0.01567678458381283
Regular,0.15161137071442038,-0.28400138992910484,1.0384404772981966,0.7238568384052747
Weekly    report,1.3766098130144824,1.0918564434568465,-0.5115648539611923,1.7992780872889544
Weekly    report,-0.18039431426057462,0.16021636274574555,1.014528249688281,0.524044959670292
Weekly    report,-1.567675132477536,2.7081682844053674,0.6116993776733908,-0.6857291788402293
Special,-0.2607258927086163,0.2862899294141674,-0.7722500133404745,-0.42019388769631527
